pl_name,ra,dec,sy_dist,X,Y,Z,pl_bmasse,color
Kepler-1639 b,283.068651,48.8021209,1031.31,153.5986587117484,-661.6907252896395,775.9981650800617,,n
Kepler-164 b,287.7808115,47.6298453,890.758,183.31670759552827,-571.6223435091009,658.097785805042,,n
Kepler-164 c,287.7808115,47.6298453,890.758,183.31670759552827,-571.6223435091009,658.097785805042,,n
Kepler-164 d,287.7808115,47.6298453,890.758,183.31670759552827,-571.6223435091009,658.097785805042,,n
Kepler-164 e,287.7808115,47.6298453,890.758,183.31670759552827,-571.6223435091009,658.097785805042,,n
Kepler-1640 b,294.5577857,40.8504949,1859.78,584.6699081837975,-1279.5196947633374,1216.4588351346235,,n
Kepler-1641 b,296.359456,41.5745321,860.37,285.77557515319137,-576.7154957682494,570.9361562264604,,n
Kepler-1641 c,296.359456,41.5745321,860.37,285.77557515319137,-576.7154957682494,570.9361562264604,,n
Kepler-1642 b,297.2121215,43.643789,413.873,136.95579202864573,-266.34853285931877,285.6438870385549,,n
Kepler-1642 c,297.2121215,43.643789,413.873,136.95579202864573,-266.34853285931877,285.6438870385549,,n
Kepler-1643 b,300.4310076,44.7510129,341.774,122.93710648959855,-209.28164619864359,240.61821936077672,,n
Kepler-1644 b,285.4750512,48.0348356,629.27,112.2718373902908,-405.52478568188116,467.89466296023556,,n
Kepler-1645 b,297.4795142,48.418582,1202.47,368.24982715113373,-708.0192957822475,899.4636415682241,,n
Kepler-1646 b,287.5264859,42.9129356,127.591,28.141030001875095,-89.10829229668707,86.8749558584161,,n
Kepler-1647 b,298.150057,40.6561751,1212.45,433.9475353115705,-811.005409430303,789.9333927438438,483.0,n
Kepler-1649 b,292.5029676,41.8299933,92.1913,26.291428890466033,-63.46382676339929,61.48446352642927,,n
Kepler-1649 c,292.5029676,41.8299933,92.1913,26.291428890466033,-63.46382676339929,61.48446352642927,,n
Kepler-165 b,280.69092,47.8096702,560.885,69.87970291793901,-370.1493998290074,415.5697680911428,,n
Kepler-165 c,280.69092,47.8096702,560.885,69.87970291793901,-370.1493998290074,415.5697680911428,,n
Kepler-1650 b,297.7292296,42.8666919,134.397,45.833630211140374,-87.19209448946522,91.42959372767992,,n
Kepler-1651 b,283.6282602,48.3908081,66.4074,10.390337380113147,-42.85600813470379,49.65225302688313,,n
Kepler-1652 b,294.3660313,49.9150219,,,,,,n
Kepler-1653 b,296.457702,41.266021,,,,,,n
Kepler-1654 b,282.1856949,44.4344617,568.117,85.62805922573283,-396.52473488241833,397.73470528564917,158.915,G
Kepler-1655 b,286.6895986,39.2120802,213.26,47.453639372719195,-158.2756046147359,134.82141036988043,5.4,n
Kepler-1656 b,284.4722473,39.911889,185.875,35.63033475468835,-138.04809668663026,119.25903685451945,,n
Kepler-1656 c,284.4722473,39.911889,185.875,35.63033475468835,-138.04809668663026,119.25903685451945,126.4,n
Kepler-1658 b,294.3565559,38.9473424,788.238,252.82269399369204,-558.46973907589,495.4910499517419,,n
Kepler-166 b,293.1600977,48.8812074,603.53,156.0994133886939,-364.90886560729024,454.667959989382,,n
Kepler-166 c,293.1600977,48.8812074,603.53,156.0994133886939,-364.90886560729024,454.667959989382,,n
Kepler-166 d,293.1600977,48.8812074,603.53,156.0994133886939,-364.90886560729024,454.667959989382,,n
Kepler-1661 b,285.1670927,41.9669383,410.607,79.87685813125059,-294.664454272275,274.5735882646079,17.0,K
Kepler-1663 b,290.4015156,48.8227234,337.926,77.55841781693229,-208.53141675394508,254.34881861004706,,n
Kepler-1664 b,286.8527157,49.2616668,626.691,118.56897564200192,-391.4174995147321,474.84244604904586,,n
Kepler-1665 b,290.39624,41.0399229,335.515,88.19510431644674,-237.19713204621866,220.29402930778625,,n
Kepler-1666 b,297.9516071,46.2647024,1379.37,446.9752036588943,-842.3536883654249,996.6519090992874,,n
Kepler-1666 c,297.9516071,46.2647024,1379.37,446.9752036588943,-842.3536883654249,996.6519090992874,,n
Kepler-1667 b,283.5329505,48.0943604,626.819,97.9674133328513,-407.0322814009289,466.5074132137937,,n
Kepler-1668 b,297.3523076,46.0959309,1335.64,425.55406138291664,-822.6522857426005,962.3311110023305,,n
Kepler-1669 b,297.4303826,39.8478795,543.444,192.20474113622174,-370.3197733579573,348.2125558920428,,n
Kepler-1669 c,297.4303826,39.8478795,543.444,192.20474113622174,-370.3197733579573,348.2125558920428,,n
Kepler-1669 d,297.4303826,39.8478795,543.444,192.20474113622174,-370.3197733579573,348.2125558920428,,n
Kepler-167 b,292.6585253,38.3455558,341.908,103.30266652077903,-247.4559656125654,212.12068413158008,,K
Kepler-167 c,292.6585253,38.3455558,341.908,103.30266652077903,-247.4559656125654,212.12068413158008,,n
Kepler-167 d,292.6585253,38.3455558,341.908,103.30266652077903,-247.4559656125654,212.12068413158008,,n
Kepler-167 e,292.6585253,38.3455558,341.908,103.30266652077903,-247.4559656125654,212.12068413158008,,K
Kepler-1670 b,290.3264599,43.121755,2065.98,523.8197543745382,-1414.061519662916,1412.202621416489,,n
Kepler-1671 b,291.7484295,39.4467817,357.059,102.16542541631087,-256.10005699980877,226.86144700058432,,n
Kepler-1672 b,297.9400971,40.2785566,391.181,139.83165966661457,-263.64971337849414,252.90019840110432,,n
Kepler-1673 b,285.6671724,48.7195865,727.187,129.55804482571097,-461.933228120428,546.4735480772878,,n
Kepler-1674 b,294.8160447,45.3060844,1012.48,298.87142751761434,-646.3416246559908,719.7458749104699,,n
